orgtaxlvltop,md5sum,SMAG,rho,tops,organism,taxlevel,metrics,taxogroup,fSMAG,taxlfSMAG,SMAG_md5sum,stcount,Min,Max,Mean,Se,iteration_count,md5sum_SMAG,if.matches,if.matches_no_na,if.matches_text
10chloroparvulagenus,036faccf8545ac212335a7f85f07c1da366121de,TARA_PON_109_MAG_00222,0.0958588294478613,10,chloroparvula,genus,rho,g:Chloroparvula,TARA_PON_109_MAG_00222rho,TARA_PON_109_MAG_00222rhogenus,TARA_PON_109_MAG_00222036faccf8545ac212335a7f85f07c1da366121de,30,-0.0319479209478823,0.0096166204017748,-0.0169558045077475,0.00561828797401591,132,036faccf8545ac212335a7f85f07c1da366121deTARA_PON_109_MAG_00222,,Unknown,
10chloroparvulagenus,74c4f15ca9aa7b936dbf91e31457b5fa1f5e9784,TARA_PON_109_MAG_00226,0.0655992190035292,10,chloroparvula,genus,rho,g:Chloroparvula,TARA_PON_109_MAG_00226rho,TARA_PON_109_MAG_00226rhogenus,TARA_PON_109_MAG_0022674c4f15ca9aa7b936dbf91e31457b5fa1f5e9784,30,-0.0319479209478823,0.0096166204017748,-0.0169558045077475,0.00561828797401591,132,74c4f15ca9aa7b936dbf91e31457b5fa1f5e9784TARA_PON_109_MAG_00226,,Unknown,
10chloroparvulagenus,1ffd30cccbafaac143303ae4cb75e0c90ed2cc9b,TARA_PSE_93_MAG_00220,0.104694672320256,10,chloroparvula,genus,rho,g:Chloroparvula,TARA_PSE_93_MAG_00220rho,TARA_PSE_93_MAG_00220rhogenus,TARA_PSE_93_MAG_002201ffd30cccbafaac143303ae4cb75e0c90ed2cc9b,39,-0.0319479209478823,0.0096166204017748,-0.0169558045077475,0.00561828797401591,132,1ffd30cccbafaac143303ae4cb75e0c90ed2cc9bTARA_PSE_93_MAG_00220,,Unknown,
10chloroparvulagenus,273332e0dfd94d5a9802926879531af5996f637d,TARA_IOS_50_MAG_00114,0.00103267619872038,10,chloroparvula,genus,rho,g:Chloroparvula,TARA_IOS_50_MAG_00114rho,TARA_IOS_50_MAG_00114rhogenus,TARA_IOS_50_MAG_00114273332e0dfd94d5a9802926879531af5996f637d,28,-0.0319479209478823,0.0096166204017748,-0.0169558045077475,0.00561828797401591,132,273332e0dfd94d5a9802926879531af5996f637dTARA_IOS_50_MAG_00114,,Unknown,
10chloroparvulagenus,273332e0dfd94d5a9802926879531af5996f637d,TARA_PSE_93_MAG_00236,0.18291762518471,10,chloroparvula,genus,rho,g:Chloroparvula,TARA_PSE_93_MAG_00236rho,TARA_PSE_93_MAG_00236rhogenus,TARA_PSE_93_MAG_00236273332e0dfd94d5a9802926879531af5996f637d,66,-0.0319479209478823,0.0096166204017748,-0.0169558045077475,0.00561828797401591,132,273332e0dfd94d5a9802926879531af5996f637dTARA_PSE_93_MAG_00236,,Unknown,
10chloroparvulataxogroup_middle,486b49ac4cfe2a225ba4af6f61367abff50f83ad,TARA_AON_82_MAG_00300,0.169851001101412,10,chloroparvula,taxogroup_middle,rho,Chloropicophyceae,TARA_AON_82_MAG_00300rho,TARA_AON_82_MAG_00300rhotaxogroup_middle,TARA_AON_82_MAG_00300486b49ac4cfe2a225ba4af6f61367abff50f83ad,32,-0.0115397270053268,0.0373924934697448,0.00863993299361774,0.00892196992093676,132,486b49ac4cfe2a225ba4af6f61367abff50f83adTARA_AON_82_MAG_00300,,Unknown,
10chloroparvulataxogroup_middle,4ff2b735a1924e35724677f941c79ee5b3489c88,TARA_ION_45_MAG_00156,0.148730787847555,10,chloroparvula,taxogroup_middle,rho,Chloropicophyceae,TARA_ION_45_MAG_00156rho,TARA_ION_45_MAG_00156rhotaxogroup_middle,TARA_ION_45_MAG_001564ff2b735a1924e35724677f941c79ee5b3489c88,8,-0.0115397270053268,0.0373924934697448,0.00863993299361774,0.00892196992093676,132,4ff2b735a1924e35724677f941c79ee5b3489c88TARA_ION_45_MAG_00156,,Unknown,
10chloroparvulataxogroup_middle,756b537b6d951b323ed9a3334ed5c1d36973a4d9,TARA_PON_109_MAG_00222,0.183773419649488,10,chloroparvula,taxogroup_middle,rho,Chloropicophyceae,TARA_PON_109_MAG_00222rho,TARA_PON_109_MAG_00222rhotaxogroup_middle,TARA_PON_109_MAG_00222756b537b6d951b323ed9a3334ed5c1d36973a4d9,61,-0.0115397270053268,0.0373924934697448,0.00863993299361774,0.00892196992093676,132,756b537b6d951b323ed9a3334ed5c1d36973a4d9TARA_PON_109_MAG_00222,,Unknown,
10chloroparvulataxogroup_middle,4ff2b735a1924e35724677f941c79ee5b3489c88,TARA_PON_109_MAG_00226,0.0994165866775906,10,chloroparvula,taxogroup_middle,rho,Chloropicophyceae,TARA_PON_109_MAG_00226rho,TARA_PON_109_MAG_00226rhotaxogroup_middle,TARA_PON_109_MAG_002264ff2b735a1924e35724677f941c79ee5b3489c88,5,-0.0115397270053268,0.0373924934697448,0.00863993299361774,0.00892196992093676,132,4ff2b735a1924e35724677f941c79ee5b3489c88TARA_PON_109_MAG_00226,,Unknown,
10chloroparvulataxogroup_middle,4288479b74340d3d264fcb6b6c7f05da62c6fc4d,TARA_PSE_93_MAG_00220,0.148098923563914,10,chloroparvula,taxogroup_middle,rho,Chloropicophyceae,TARA_PSE_93_MAG_00220rho,TARA_PSE_93_MAG_00220rhotaxogroup_middle,TARA_PSE_93_MAG_002204288479b74340d3d264fcb6b6c7f05da62c6fc4d,15,-0.0115397270053268,0.0373924934697448,0.00863993299361774,0.00892196992093676,132,4288479b74340d3d264fcb6b6c7f05da62c6fc4dTARA_PSE_93_MAG_00220,,Unknown,
