organism,taxlevel,Min,Max,Mean,Se,top,metrics,iteration_count
New_Chrysochromulinaceae_01,taxogroup_middle,0.390425560335757,1.8742049439078,0.771883314504515,0.289137249656495,8,vlr,130
New_Chrysochromulinaceae_01,taxogroup_middle,0.378789186459706,1.87031571751657,0.762818280664576,0.289133462090379,9,vlr,130
New_Chrysophyceae,taxogroup_1,0.479432955428449,1.45433676017345,0.765640152139798,0.161519423605639,1,vlr,131
New_Chrysophyceae,taxogroup_1,0.402434867517815,1.11996841557129,0.611620890410618,0.14491221132582,10,vlr,131
New_Chrysophyceae,taxogroup_1,0.457887800249899,1.28801155768442,0.708468136402042,0.150392621629339,2,vlr,131
New_Chrysophyceae,taxogroup_1,0.451394602127527,1.26399297624685,0.684179582150711,0.148978399714324,3,vlr,131
New_Chrysophyceae,taxogroup_1,0.442129307788213,1.22352313310477,0.667386802283943,0.147599816314622,4,vlr,131
New_Chrysophyceae,taxogroup_1,0.439517541462716,1.18739206156444,0.654251093962394,0.146942115832635,5,vlr,131
New_Chrysophyceae,taxogroup_1,0.430861555453362,1.18484729569253,0.643269693068763,0.146031378427938,6,vlr,131
New_Chrysophyceae,taxogroup_1,0.423801221957894,1.16267318829979,0.633832029603917,0.145824390938727,7,vlr,131
New_Chrysophyceae,taxogroup_1,0.414649924040939,1.14680730911451,0.625787865330066,0.145491222843419,8,vlr,131
New_Chrysophyceae,taxogroup_1,0.407921619784534,1.13235959709448,0.618475983413887,0.14518305867083,9,vlr,131
New_Chrysophyceae,taxogroup_2,0.348675546762675,1.30996719622499,0.642912995582428,0.160237504437163,1,vlr,131
New_Chrysophyceae,taxogroup_2,0.263015198055963,1.00432662427034,0.471648785715335,0.144131589483518,10,vlr,131
New_Chrysophyceae,taxogroup_2,0.343248273038904,1.25503803029057,0.588790132425415,0.151770649926981,2,vlr,131
New_Chrysophyceae,taxogroup_2,0.322450898334606,1.17619591213801,0.560547330247717,0.148603034280684,3,vlr,131
New_Chrysophyceae,taxogroup_2,0.311991699939199,1.14603911373052,0.540039139452449,0.146979220180046,4,vlr,131
New_Chrysophyceae,taxogroup_2,0.307387483195895,1.1269898877912,0.523522067078747,0.145946439204616,5,vlr,131
New_Chrysophyceae,taxogroup_2,0.302502296834442,1.04245255921272,0.508752413943825,0.144921006225588,6,vlr,131
New_Chrysophyceae,taxogroup_2,0.294827242687591,1.03865644577,0.497648744687226,0.144815934143946,7,vlr,131
New_Chrysophyceae,taxogroup_2,0.28547747148787,1.02481849474515,0.488150742878686,0.144548564465231,8,vlr,131
New_Chrysophyceae,taxogroup_2,0.285200469191818,1.01666175059145,0.479523759720844,0.144249728286308,9,vlr,131
New_Ciliophora_01,supergroup,0.633316713340232,1.15354979953193,0.779568822363085,0.0793611847191912,1,vlr,130
New_Ciliophora_01,supergroup,0.560176634074801,0.689643088126599,0.626630631972151,0.0262888176248785,10,vlr,130
New_Ciliophora_01,supergroup,0.624667882184267,0.868797806113719,0.722414797805059,0.0455924457878033,2,vlr,130
New_Ciliophora_01,supergroup,0.609575144579892,0.809900145469102,0.695352177362317,0.0359102256525936,3,vlr,130
New_Ciliophora_01,supergroup,0.592372846860344,0.77293720627371,0.679300344955675,0.0339109103185388,4,vlr,130
New_Ciliophora_01,supergroup,0.58109904532102,0.754856479249385,0.666161305522965,0.0318260574459505,5,vlr,130
New_Ciliophora_01,supergroup,0.577121347005433,0.748952404227871,0.656091134050764,0.0309557420868107,6,vlr,130
New_Ciliophora_01,supergroup,0.57534747052942,0.741060961882598,0.646360428904187,0.0292905940138166,7,vlr,130
New_Ciliophora_01,supergroup,0.567427145754627,0.738897779341218,0.639092082137809,0.0287866521755641,8,vlr,130
New_Ciliophora_01,supergroup,0.560418841087591,0.691784383552765,0.631942157633067,0.0268792399429037,9,vlr,130
New_Ciliophora_01,taxogroup_1,0.518816704304773,0.843216396068684,0.655368968573234,0.0608961539190665,1,vlr,130
New_Ciliophora_01,taxogroup_1,0.442765986561293,0.575867318266772,0.512606259610665,0.0280475058576531,10,vlr,130
New_Ciliophora_01,taxogroup_1,0.494515919541776,0.731814153567089,0.608560531643655,0.0457852501835704,2,vlr,130
New_Ciliophora_01,taxogroup_1,0.482035718236619,0.69268409020067,0.584043124074935,0.0404172242058618,3,vlr,130
New_Ciliophora_01,taxogroup_1,0.48033817789035,0.681186954140346,0.566660392911353,0.0357743325598585,4,vlr,130
New_Ciliophora_01,taxogroup_1,0.47616850372827,0.644662812011894,0.553027920101657,0.0332243851276598,5,vlr,130
New_Ciliophora_01,taxogroup_1,0.467061749240131,0.625118371560443,0.541882561762988,0.0323343825969344,6,vlr,130
New_Ciliophora_01,taxogroup_1,0.462127309430617,0.60248683237433,0.532681290041257,0.030718234909867,7,vlr,130
New_Ciliophora_01,taxogroup_1,0.458613278910394,0.593918567486613,0.52464589698249,0.0295899423719762,8,vlr,130
New_Ciliophora_01,taxogroup_1,0.450629310832825,0.583660764151852,0.518379223938921,0.0288551980637621,9,vlr,130
New_Cyrtolophosidida_01,taxogroup_2,0.251687711939053,0.962324952880077,0.532760534874616,0.131685671108348,1,vlr,130
